,OWNER_MEANING,SPGRP_NAME,REMCLASSCD_MEANING,SOURCECD_MEANING,PRODCD_MEANING,MCFVOL,RPA_STD_AMOUNT,RPA_STD_AMOUNT_UOM_MEANING,SAWREMVOL,GREEN_TONS
35,National Forest,Cedars,Roundwood product,Nongrowing-stock,Pulpwood,1.959067594,25.98443986,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,70.15798763
36,National Forest,Cedars,Roundwood product,Nongrowing-stock,Composite panel,1.065959055,13.72132601,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,37.04758023
37,National Forest,Cedars,Roundwood product,Nongrowing-stock,Bioenergy/Fuelwood,3.899508084,50.64296213,Thousand cubic feet (M cu. ft.),,136.7359977
38,National Forest,Cedars,Roundwood product,Nongrowing-stock,Miscellaneous,0.003183234,0.003183234,Thousand cubic feet (M cu. ft.),,0.111413207
39,National Forest,Cedars,Roundwood product,Nongrowing-stock,"Poles, Posts, Pilings",0.046425836,0.046425836,Thousand cubic feet (M cu. ft.),,1.392775081
40,National Forest,Cedars,Logging residues,Sawtimber growing stock,Not Used,4.548626607,4.548626607,Thousand cubic feet (M cu. ft.),30.30116227,159.2019313
41,National Forest,Cedars,Logging residues,Poletimber growing stock,Not Used,3.0335408,3.0335408,Thousand cubic feet (M cu. ft.),30.30116227,106.173928
42,National Forest,Cedars,Logging residues,Nongrowing-stock,Not Used,15.77926087,15.77926087,Thousand cubic feet (M cu. ft.),30.30116227,552.2741305
43,National Forest,Cypress,Roundwood product,Sawtimber growing stock,Saw logs,0.446939252,2.655323301,Thousand board feet (MBF) - International 1/4-inch rule,,15.51404209
44,National Forest,Cypress,Roundwood product,Sawtimber growing stock,Veneer logs,0.011729081,0.069402845,Thousand board feet (MBF) - International 1/4-inch rule,,0.405486122
45,National Forest,Cypress,Roundwood product,Sawtimber growing stock,Pulpwood,0.196244068,2.615928219,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,7.063006192
46,National Forest,Cypress,Roundwood product,Sawtimber growing stock,Composite panel,0.00775609,0.099820978,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,0.26951664
47,National Forest,Cypress,Roundwood product,Sawtimber growing stock,Bioenergy/Fuelwood,0.023920191,0.310651837,Thousand cubic feet (M cu. ft.),,0.838759959
48,National Forest,Cypress,Roundwood product,Sawtimber growing stock,Miscellaneous,0.001270697,0.001270697,Thousand cubic feet (M cu. ft.),,0.044474396
49,National Forest,Cypress,Roundwood product,Sawtimber growing stock,"Poles, Posts, Pilings",0.000522228,0.000522228,Thousand cubic feet (M cu. ft.),,0.015666839
50,National Forest,Cypress,Roundwood product,Poletimber growing stock,Saw logs,0.005861299,0.03482273,Thousand board feet (MBF) - International 1/4-inch rule,,0.203455943
51,National Forest,Cypress,Roundwood product,Poletimber growing stock,Veneer logs,6.06E-05,0.000358561,Thousand board feet (MBF) - International 1/4-inch rule,,0.002094891
52,National Forest,Cypress,Roundwood product,Poletimber growing stock,Pulpwood,0.258958442,3.451909156,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,9.320154722
53,National Forest,Cypress,Roundwood product,Poletimber growing stock,Composite panel,0.031879936,0.410295191,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,1.107797016
54,National Forest,Cypress,Roundwood product,Poletimber growing stock,Bioenergy/Fuelwood,0.019904645,0.258501889,Thousand cubic feet (M cu. ft.),,0.697955101
55,National Forest,Cypress,Roundwood product,Poletimber growing stock,Miscellaneous,0.001471411,0.001471411,Thousand cubic feet (M cu. ft.),,0.051499373
56,National Forest,Cypress,Roundwood product,Poletimber growing stock,"Poles, Posts, Pilings",0.000604717,0.000604717,Thousand cubic feet (M cu. ft.),,0.018141503
