,OWNER_MEANING,SPGRP_NAME,REMCLASSCD_MEANING,SOURCECD_MEANING,PRODCD_MEANING,MCFVOL,RPA_STD_AMOUNT,RPA_STD_AMOUNT_UOM_MEANING,SAWREMVOL,GREEN_TONS
422,National Forest,Sycamore,Roundwood product,Sawtimber growing stock,Veneer logs,0.001069345,0.006560397,Thousand board feet (MBF) - International 1/4-inch rule,,0.041186171
423,National Forest,Sycamore,Roundwood product,Sawtimber growing stock,Pulpwood,1.825784863,25.86060803,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,72.40970249
424,National Forest,Sycamore,Roundwood product,Sawtimber growing stock,Bioenergy/Fuelwood,0.744045298,9.854904608,Thousand cubic feet (M cu. ft.),,27.5937329
425,National Forest,Sycamore,Roundwood product,Sawtimber growing stock,Miscellaneous,0.001415772,0.001415772,Thousand cubic feet (M cu. ft.),,0.053091448
426,National Forest,Sycamore,Roundwood product,Poletimber growing stock,Saw logs,0.033298644,0.197033395,Thousand board feet (MBF) - International 1/4-inch rule,,1.236975651
427,National Forest,Sycamore,Roundwood product,Poletimber growing stock,Veneer logs,0.007776691,0.047709763,Thousand board feet (MBF) - International 1/4-inch rule,,0.29952189
428,National Forest,Sycamore,Roundwood product,Poletimber growing stock,Pulpwood,1.992133305,28.21678479,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,79.0069974
429,National Forest,Sycamore,Roundwood product,Poletimber growing stock,Bioenergy/Fuelwood,0.073228601,0.969915245,Thousand cubic feet (M cu. ft.),,2.715762687
430,National Forest,Sycamore,Roundwood product,Poletimber growing stock,Miscellaneous,0.000213388,0.000213388,Thousand cubic feet (M cu. ft.),,0.008002063
431,National Forest,Sycamore,Roundwood product,Nongrowing-stock,Saw logs,0.01265851,0.074902426,Thousand board feet (MBF) - International 1/4-inch rule,,0.470237429
432,National Forest,Sycamore,Roundwood product,Nongrowing-stock,Veneer logs,4.17E-06,2.56E-05,Thousand board feet (MBF) - International 1/4-inch rule,,0.000160785
433,National Forest,Sycamore,Roundwood product,Nongrowing-stock,Pulpwood,0.23009683,3.259115594,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,9.125523664
434,National Forest,Sycamore,Roundwood product,Nongrowing-stock,Bioenergy/Fuelwood,0.081709408,1.082243817,Thousand cubic feet (M cu. ft.),,3.030282687
435,National Forest,Sycamore,Roundwood product,Nongrowing-stock,Miscellaneous,3.51E-05,3.51E-05,Thousand cubic feet (M cu. ft.),,0.001314986
436,National Forest,Tupelo/black gum,Roundwood product,Sawtimber growing stock,Saw logs,2.874798404,17.29169561,Thousand board feet (MBF) - International 1/4-inch rule,,108.5572651
437,National Forest,Tupelo/black gum,Roundwood product,Sawtimber growing stock,Veneer logs,0.001259008,0.007723978,Thousand board feet (MBF) - International 1/4-inch rule,,0.048491134
438,National Forest,Tupelo/black gum,Roundwood product,Sawtimber growing stock,Pulpwood,2.872286926,40.06935806,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,112.1942026
439,National Forest,Tupelo/black gum,Roundwood product,Sawtimber growing stock,Composite panel,0.018264336,0.238437811,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,0.66762587
440,National Forest,Tupelo/black gum,Roundwood product,Sawtimber growing stock,Bioenergy/Fuelwood,1.503562451,19.91473445,Thousand cubic feet (M cu. ft.),,55.76125646
441,National Forest,Tupelo/black gum,Roundwood product,Sawtimber growing stock,Miscellaneous,0.261513418,0.261513418,Thousand cubic feet (M cu. ft.),,9.806753185
442,National Forest,Tupelo/black gum,Roundwood product,Poletimber growing stock,Saw logs,0.092898189,0.558775602,Thousand board feet (MBF) - International 1/4-inch rule,,3.507993231
443,National Forest,Tupelo/black gum,Roundwood product,Poletimber growing stock,Veneer logs,0.009156,0.056171779,Thousand board feet (MBF) - International 1/4-inch rule,,0.352646426
444,National Forest,Tupelo/black gum,Roundwood product,Poletimber growing stock,Pulpwood,3.133982849,43.72010324,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,122.4162891
445,National Forest,Tupelo/black gum,Roundwood product,Poletimber growing stock,Composite panel,0.004162999,0.05434724,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,0.152172273
446,National Forest,Tupelo/black gum,Roundwood product,Poletimber growing stock,Bioenergy/Fuelwood,0.147979935,1.959999139,Thousand cubic feet (M cu. ft.),,5.487997589
447,National Forest,Tupelo/black gum,Roundwood product,Poletimber growing stock,Miscellaneous,0.039415895,0.039415895,Thousand cubic feet (M cu. ft.),,1.478096074
448,National Forest,Tupelo/black gum,Roundwood product,Nongrowing-stock,Saw logs,0.035315332,0.212419058,Thousand board feet (MBF) - International 1/4-inch rule,,1.333566846
449,National Forest,Tupelo/black gum,Roundwood product,Nongrowing-stock,Veneer logs,4.91E-06,3.02E-05,Thousand board feet (MBF) - International 1/4-inch rule,,0.000189303
450,National Forest,Tupelo/black gum,Roundwood product,Nongrowing-stock,Pulpwood,0.361983566,5.049791156,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,14.13941524
451,National Forest,Tupelo/black gum,Roundwood product,Nongrowing-stock,Composite panel,0.00062838,0.008203395,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,0.022969506
452,National Forest,Tupelo/black gum,Roundwood product,Nongrowing-stock,Bioenergy/Fuelwood,0.165117901,2.186992069,Thousand cubic feet (M cu. ft.),,6.123577794
453,National Forest,Tupelo/black gum,Roundwood product,Nongrowing-stock,Miscellaneous,0.006477248,0.006477248,Thousand cubic feet (M cu. ft.),,0.242896801
454,National Forest,Tupelo/black gum,Logging residues,Sawtimber growing stock,Not Used,1.441899454,1.441899454,Thousand cubic feet (M cu. ft.),13.11994652,54.07122954
455,National Forest,Tupelo/black gum,Logging residues,Poletimber growing stock,Not Used,2.00361691,2.00361691,Thousand cubic feet (M cu. ft.),13.11994652,75.13563412
456,National Forest,Tupelo/black gum,Logging residues,Nongrowing-stock,Not Used,5.829370138,5.829370138,Thousand cubic feet (M cu. ft.),13.11994652,218.6013802
457,National Forest,Black walnut,Roundwood product,Sawtimber growing stock,Saw logs,7.6006934,46.18641263,Thousand board feet (MBF) - International 1/4-inch rule,,289.9582985
458,National Forest,Black walnut,Roundwood product,Sawtimber growing stock,Veneer logs,0.000452461,0.002775834,Thousand board feet (MBF) - International 1/4-inch rule,,0.017426684
459,National Forest,Black walnut,Roundwood product,Sawtimber growing stock,Pulpwood,3.88866455,52.43184226,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,146.8091583
460,National Forest,Black walnut,Roundwood product,Sawtimber growing stock,Composite panel,0.078755161,1.028135267,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,2.878778749
461,National Forest,Black walnut,Roundwood product,Sawtimber growing stock,Bioenergy/Fuelwood,3.020793187,40.01050579,Thousand cubic feet (M cu. ft.),,112.0294162
462,National Forest,Black walnut,Roundwood product,Sawtimber growing stock,Miscellaneous,1.121047974,1.121047974,Thousand cubic feet (M cu. ft.),,42.03929902
463,National Forest,Black walnut,Roundwood product,Poletimber growing stock,Saw logs,0.245613971,1.492499123,Thousand board feet (MBF) - International 1/4-inch rule,,9.369909493
464,National Forest,Black walnut,Roundwood product,Poletimber growing stock,Veneer logs,0.003290472,0.020186945,Thousand board feet (MBF) - International 1/4-inch rule,,0.12673364
465,National Forest,Black walnut,Roundwood product,Poletimber growing stock,Pulpwood,4.242963297,57.20894138,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,160.1850359
466,National Forest,Black walnut,Roundwood product,Poletimber growing stock,Composite panel,0.0179507,0.234343346,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,0.65616137
467,National Forest,Black walnut,Roundwood product,Poletimber growing stock,Bioenergy/Fuelwood,0.297305096,3.937815847,Thousand cubic feet (M cu. ft.),,11.02588437
468,National Forest,Black walnut,Roundwood product,Poletimber growing stock,Miscellaneous,0.168966892,0.168966892,Thousand cubic feet (M cu. ft.),,6.33625846
469,National Forest,Black walnut,Roundwood product,Nongrowing-stock,Saw logs,0.093370377,0.567374911,Thousand board feet (MBF) - International 1/4-inch rule,,3.561979692
470,National Forest,Black walnut,Roundwood product,Nongrowing-stock,Veneer logs,1.77E-06,1.08E-05,Thousand board feet (MBF) - International 1/4-inch rule,,6.80E-05
471,National Forest,Black walnut,Roundwood product,Nongrowing-stock,Pulpwood,0.490073832,6.607788747,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,18.50180849
472,National Forest,Black walnut,Roundwood product,Nongrowing-stock,Composite panel,0.002709552,0.035372745,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,0.099043686
473,National Forest,Black walnut,Roundwood product,Nongrowing-stock,Bioenergy/Fuelwood,0.331736823,4.393865209,Thousand cubic feet (M cu. ft.),,12.30282258
474,National Forest,Black walnut,Roundwood product,Nongrowing-stock,Miscellaneous,0.027766475,0.027766475,Thousand cubic feet (M cu. ft.),,1.041242812
475,National Forest,Yellow-poplar,Roundwood product,Sawtimber growing stock,Saw logs,52.17462429,316.6298407,Thousand board feet (MBF) - International 1/4-inch rule,,1987.80214
476,National Forest,Yellow-poplar,Roundwood product,Sawtimber growing stock,Veneer logs,0.005650438,0.034665265,Thousand board feet (MBF) - International 1/4-inch rule,,0.217628532
477,National Forest,Yellow-poplar,Roundwood product,Sawtimber growing stock,Pulpwood,29.97163716,407.2531053,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,1140.308695
478,National Forest,Yellow-poplar,Roundwood product,Sawtimber growing stock,Composite panel,0.513658774,6.705728121,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,18.77603874
479,National Forest,Yellow-poplar,Roundwood product,Sawtimber growing stock,Bioenergy/Fuelwood,21.58051019,285.8345721,Thousand cubic feet (M cu. ft.),,800.3368018
480,National Forest,Yellow-poplar,Roundwood product,Sawtimber growing stock,Miscellaneous,7.315299455,7.315299455,Thousand cubic feet (M cu. ft.),,274.3237296
481,National Forest,Yellow-poplar,Roundwood product,Poletimber growing stock,Saw logs,1.686006264,10.23179183,Thousand board feet (MBF) - International 1/4-inch rule,,64.23518913
482,National Forest,Yellow-poplar,Roundwood product,Poletimber growing stock,Veneer logs,0.041092189,0.252099317,Thousand board feet (MBF) - International 1/4-inch rule,,1.582679511
483,National Forest,Yellow-poplar,Roundwood product,Poletimber growing stock,Pulpwood,32.70237244,444.3581996,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,1244.202959
484,National Forest,Yellow-poplar,Roundwood product,Poletimber growing stock,Composite panel,0.117078482,1.528439708,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,4.279631182
485,National Forest,Yellow-poplar,Roundwood product,Poletimber growing stock,Bioenergy/Fuelwood,2.123944033,28.13170904,Thousand cubic feet (M cu. ft.),,78.76878532
486,National Forest,Yellow-poplar,Roundwood product,Poletimber growing stock,Miscellaneous,1.102578519,1.102578519,Thousand cubic feet (M cu. ft.),,41.34669447
487,National Forest,Yellow-poplar,Roundwood product,Nongrowing-stock,Saw logs,0.640936828,3.889625055,Thousand board feet (MBF) - International 1/4-inch rule,,24.41906609
488,National Forest,Yellow-poplar,Roundwood product,Nongrowing-stock,Veneer logs,2.21E-05,0.000135328,Thousand board feet (MBF) - International 1/4-inch rule,,0.000849592
489,National Forest,Yellow-poplar,Roundwood product,Nongrowing-stock,Pulpwood,3.777213201,51.32458389,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,143.7088349
490,National Forest,Yellow-poplar,Roundwood product,Nongrowing-stock,Composite panel,0.017672306,0.230708952,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,0.645985067
491,National Forest,Yellow-poplar,Roundwood product,Nongrowing-stock,Bioenergy/Fuelwood,2.369923875,31.3897202,Thousand cubic feet (M cu. ft.),,87.89121656
492,National Forest,Yellow-poplar,Roundwood product,Nongrowing-stock,Miscellaneous,0.181187678,0.181187678,Thousand cubic feet (M cu. ft.),,6.794537926
493,National Forest,Yellow-poplar,Logging residues,Sawtimber growing stock,Not Used,5.203132977,5.203132977,Thousand cubic feet (M cu. ft.),147.5280342,195.1174866
494,National Forest,Yellow-poplar,Logging residues,Poletimber growing stock,Not Used,7.230105529,7.230105529,Thousand cubic feet (M cu. ft.),147.5280342,271.1289573
495,National Forest,Yellow-poplar,Logging residues,Nongrowing-stock,Not Used,21.03543899,21.03543899,Thousand cubic feet (M cu. ft.),147.5280342,788.8289621
496,National Forest,Other hardwoods,Roundwood product,Sawtimber growing stock,Saw logs,10.74912424,65.15438672,Thousand board feet (MBF) - International 1/4-inch rule,,409.0392399
497,National Forest,Other hardwoods,Roundwood product,Sawtimber growing stock,Veneer logs,0.001644798,0.010090784,Thousand board feet (MBF) - International 1/4-inch rule,,0.063349942
498,National Forest,Other hardwoods,Roundwood product,Sawtimber growing stock,Pulpwood,6.794071098,92.84545175,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,259.9672649
499,National Forest,Other hardwoods,Roundwood product,Sawtimber growing stock,Composite panel,0.100733505,1.31505881,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,3.682164667
500,National Forest,Other hardwoods,Roundwood product,Sawtimber growing stock,Bioenergy/Fuelwood,4.605576602,61.0010146,Thousand cubic feet (M cu. ft.),,170.8028409
501,National Forest,Other hardwoods,Roundwood product,Sawtimber growing stock,Miscellaneous,1.435312264,1.435312264,Thousand cubic feet (M cu. ft.),,53.8242099
502,National Forest,Other hardwoods,Roundwood product,Poletimber growing stock,Saw logs,0.347354505,2.105443127,Thousand board feet (MBF) - International 1/4-inch rule,,13.21797195
503,National Forest,Other hardwoods,Roundwood product,Poletimber growing stock,Veneer logs,0.011961611,0.073384114,Thousand board feet (MBF) - International 1/4-inch rule,,0.46070547
504,National Forest,Other hardwoods,Roundwood product,Poletimber growing stock,Pulpwood,7.413083318,101.304661,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,283.6530509
505,National Forest,Other hardwoods,Roundwood product,Poletimber growing stock,Composite panel,0.022960234,0.299741962,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,0.839277493
506,National Forest,Other hardwoods,Roundwood product,Poletimber growing stock,Bioenergy/Fuelwood,0.453278762,6.00369221,Thousand cubic feet (M cu. ft.),,16.81033819
507,National Forest,Other hardwoods,Roundwood product,Poletimber growing stock,Miscellaneous,0.216333519,0.216333519,Thousand cubic feet (M cu. ft.),,8.112506947
508,National Forest,Other hardwoods,Roundwood product,Nongrowing-stock,Saw logs,0.132047134,0.800386137,Thousand board feet (MBF) - International 1/4-inch rule,,5.024824167
509,National Forest,Other hardwoods,Roundwood product,Nongrowing-stock,Veneer logs,6.42E-06,3.94E-05,Thousand board feet (MBF) - International 1/4-inch rule,,0.000247309
510,National Forest,Other hardwoods,Roundwood product,Nongrowing-stock,Pulpwood,0.85623134,11.70096462,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,32.76270094
511,National Forest,Other hardwoods,Roundwood product,Nongrowing-stock,Composite panel,0.003465712,0.04524428,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,0.126683984
512,National Forest,Other hardwoods,Roundwood product,Nongrowing-stock,Bioenergy/Fuelwood,0.505774231,6.698996437,Thousand cubic feet (M cu. ft.),,18.75719002
513,National Forest,Other hardwoods,Roundwood product,Nongrowing-stock,Miscellaneous,0.035550273,0.035550273,Thousand cubic feet (M cu. ft.),,1.333135256
514,National Forest,Other hardwoods,Logging residues,Sawtimber growing stock,Not Used,4.488429272,4.488429272,Thousand cubic feet (M cu. ft.),89.0868965,168.3160977
515,National Forest,Other hardwoods,Logging residues,Poletimber growing stock,Not Used,6.236976345,6.236976345,Thousand cubic feet (M cu. ft.),89.0868965,233.8866129
516,National Forest,Other hardwoods,Logging residues,Nongrowing-stock,Not Used,18.1460056,18.1460056,Thousand cubic feet (M cu. ft.),89.0868965,680.4752098
517,Other Public,Cedars,Roundwood product,Sawtimber growing stock,Saw logs,0.723666535,4.299395508,Thousand board feet (MBF) - International 1/4-inch rule,,25.11972943
518,Other Public,Cedars,Roundwood product,Sawtimber growing stock,Veneer logs,0.018991268,0.112374369,Thousand board feet (MBF) - International 1/4-inch rule,,0.656547249
519,Other Public,Cedars,Roundwood product,Sawtimber growing stock,Pulpwood,0.31775071,4.235608534,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,11.43614304
520,Other Public,Cedars,Roundwood product,Sawtimber growing stock,Composite panel,0.012558357,0.161626218,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,0.436390789
521,Other Public,Cedars,Roundwood product,Sawtimber growing stock,Bioenergy/Fuelwood,0.038730637,0.502995289,Thousand cubic feet (M cu. ft.),,1.358087281
522,Other Public,Cedars,Roundwood product,Sawtimber growing stock,Miscellaneous,0.002057463,0.002057463,Thousand cubic feet (M cu. ft.),,0.072011201
523,Other Public,Cedars,Roundwood product,Sawtimber growing stock,"Poles, Posts, Pilings",0.000845571,0.000845571,Thousand cubic feet (M cu. ft.),,0.025367133
524,Other Public,Cedars,Roundwood product,Poletimber growing stock,Saw logs,0.009490387,0.056383602,Thousand board feet (MBF) - International 1/4-inch rule,,0.329427896
525,Other Public,Cedars,Roundwood product,Poletimber growing stock,Veneer logs,9.81E-05,0.000580567,Thousand board feet (MBF) - International 1/4-inch rule,,0.003391965
526,Other Public,Cedars,Roundwood product,Poletimber growing stock,Pulpwood,0.419295368,5.58919613,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,15.09082955
527,Other Public,Cedars,Roundwood product,Poletimber growing stock,Composite panel,0.051618745,0.664333906,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,1.793701547
528,Other Public,Cedars,Roundwood product,Poletimber growing stock,Bioenergy/Fuelwood,0.032228822,0.418556136,Thousand cubic feet (M cu. ft.),,1.130101568
529,Other Public,Cedars,Roundwood product,Poletimber growing stock,Miscellaneous,0.002382451,0.002382451,Thousand cubic feet (M cu. ft.),,0.083385768
530,Other Public,Cedars,Roundwood product,Poletimber growing stock,"Poles, Posts, Pilings",0.000979134,0.000979134,Thousand cubic feet (M cu. ft.),,0.029374012
531,Other Public,Cedars,Roundwood product,Nongrowing-stock,Saw logs,0.018155681,0.107865225,Thousand board feet (MBF) - International 1/4-inch rule,,0.630215403
532,Other Public,Cedars,Roundwood product,Nongrowing-stock,Veneer logs,0.000390136,0.002308499,Thousand board feet (MBF) - International 1/4-inch rule,,0.013487403
533,Other Public,Cedars,Roundwood product,Nongrowing-stock,Pulpwood,0.06483951,0.864308951,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,2.333634168
534,Other Public,Cedars,Roundwood product,Nongrowing-stock,Composite panel,0.007896148,0.101623521,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,0.274383507
535,Other Public,Cedars,Roundwood product,Nongrowing-stock,Bioenergy/Fuelwood,0.116023761,1.506802093,Thousand cubic feet (M cu. ft.),,4.068365651
536,Other Public,Cedars,Roundwood product,Nongrowing-stock,Miscellaneous,5.40E-05,5.40E-05,Thousand cubic feet (M cu. ft.),,0.001889658
537,Other Public,Cedars,Roundwood product,Nongrowing-stock,"Poles, Posts, Pilings",2.22E-05,2.22E-05,Thousand cubic feet (M cu. ft.),,0.000665663
538,Other Public,Cedars,Logging residues,Sawtimber growing stock,Not Used,14.77066417,14.77066417,Thousand cubic feet (M cu. ft.),75.86109862,516.9732459
539,Other Public,Cedars,Logging residues,Poletimber growing stock,Not Used,9.850756342,9.850756342,Thousand cubic feet (M cu. ft.),75.86109862,344.776472
540,Other Public,Cedars,Logging residues,Nongrowing-stock,Not Used,51.2396781,51.2396781,Thousand cubic feet (M cu. ft.),75.86109862,1793.388734
541,Other Public,Cypress,Roundwood product,Sawtimber growing stock,Saw logs,63.11850483,375.6917958,Thousand board feet (MBF) - International 1/4-inch rule,,2196.325427
542,Other Public,Cypress,Roundwood product,Sawtimber growing stock,Veneer logs,0.954357785,5.647087483,Thousand board feet (MBF) - International 1/4-inch rule,,32.99310862
543,Other Public,Cypress,Roundwood product,Sawtimber growing stock,Pulpwood,8.297913693,109.4697032,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,295.5681986
544,Other Public,Cypress,Roundwood product,Sawtimber growing stock,Composite panel,0.951127588,12.2410243,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,33.0507656
545,Other Public,Cypress,Roundwood product,Sawtimber growing stock,Bioenergy/Fuelwood,0.393262746,5.107308395,Thousand cubic feet (M cu. ft.),,13.78973267
546,Other Public,Cypress,Roundwood product,Sawtimber growing stock,Miscellaneous,0.061632916,0.061632916,Thousand cubic feet (M cu. ft.),,2.157152044
547,Other Public,Cypress,Roundwood product,Sawtimber growing stock,"Poles, Posts, Pilings",0.774374016,0.774374016,Thousand cubic feet (M cu. ft.),,23.22920958
548,Other Public,Cypress,Roundwood product,Poletimber growing stock,Saw logs,0.827755581,4.926938327,Thousand board feet (MBF) - International 1/4-inch rule,,28.80329048
549,Other Public,Cypress,Roundwood product,Poletimber growing stock,Veneer logs,0.004930564,0.029174933,Thousand board feet (MBF) - International 1/4-inch rule,,0.170454547
550,Other Public,Cypress,Roundwood product,Poletimber growing stock,Pulpwood,10.94970575,144.4533027,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,390.0239172
551,Other Public,Cypress,Roundwood product,Poletimber growing stock,Composite panel,3.909429507,50.31440807,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,135.8489018
552,Other Public,Cypress,Roundwood product,Poletimber growing stock,Bioenergy/Fuelwood,0.327244686,4.249930992,Thousand cubic feet (M cu. ft.),,11.47481368
553,Other Public,Cypress,Roundwood product,Poletimber growing stock,Miscellaneous,0.071368175,0.071368175,Thousand cubic feet (M cu. ft.),,2.497886128
554,Other Public,Cypress,Roundwood product,Poletimber growing stock,"Poles, Posts, Pilings",0.899807061,0.899807061,Thousand cubic feet (M cu. ft.),,26.99186206
555,Other Public,Cypress,Roundwood product,Nongrowing-stock,Saw logs,1.583546275,9.425529731,Thousand board feet (MBF) - International 1/4-inch rule,,55.10242929
556,Other Public,Cypress,Roundwood product,Nongrowing-stock,Veneer logs,0.019605303,0.116007713,Thousand board feet (MBF) - International 1/4-inch rule,,0.677775061
557,Other Public,Cypress,Roundwood product,Nongrowing-stock,Pulpwood,1.693253997,22.3381466,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,60.31299581
558,Other Public,Cypress,Roundwood product,Nongrowing-stock,Composite panel,0.598027571,7.696622532,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,20.78088084
559,Other Public,Cypress,Roundwood product,Nongrowing-stock,Bioenergy/Fuelwood,1.178080873,15.2997516,Thousand cubic feet (M cu. ft.),,41.30932931
560,Other Public,Cypress,Roundwood product,Nongrowing-stock,Miscellaneous,0.00161732,0.00161732,Thousand cubic feet (M cu. ft.),,0.056606183
561,Other Public,Cypress,Roundwood product,Nongrowing-stock,"Poles, Posts, Pilings",0.017999961,0.017999961,Thousand cubic feet (M cu. ft.),,0.539961868
562,Other Public,Loblolly-Shortleaf pine,Roundwood product,Sawtimber growing stock,Saw logs,7677.973594,45687.69304,Thousand board feet (MBF) - International 1/4-inch rule,,267070.0348
563,Other Public,Loblolly-Shortleaf pine,Roundwood product,Sawtimber growing stock,Veneer logs,129.0688871,763.7212257,Thousand board feet (MBF) - International 1/4-inch rule,,4462.041261
564,Other Public,Loblolly-Shortleaf pine,Roundwood product,Sawtimber growing stock,Pulpwood,1368.287445,18121.50282,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,48928.05763
565,Other Public,Loblolly-Shortleaf pine,Roundwood product,Sawtimber growing stock,Composite panel,118.3645087,1523.35275,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,4113.052425
566,Other Public,Loblolly-Shortleaf pine,Roundwood product,Sawtimber growing stock,Bioenergy/Fuelwood,103.0104243,1337.797718,Thousand cubic feet (M cu. ft.),,3612.053838
567,Other Public,Loblolly-Shortleaf pine,Roundwood product,Sawtimber growing stock,Miscellaneous,9.675070119,9.675070119,Thousand cubic feet (M cu. ft.),,338.6274542
568,Other Public,Loblolly-Shortleaf pine,Roundwood product,Sawtimber growing stock,"Poles, Posts, Pilings",81.2473107,81.2473107,Thousand cubic feet (M cu. ft.),,2437.211878
569,Other Public,Loblolly-Shortleaf pine,Roundwood product,Poletimber growing stock,Saw logs,100.6913188,599.1625273,Thousand board feet (MBF) - International 1/4-inch rule,,3502.438981
570,Other Public,Loblolly-Shortleaf pine,Roundwood product,Poletimber growing stock,Veneer logs,0.666817394,3.945665051,Thousand board feet (MBF) - International 1/4-inch rule,,23.05254806
571,Other Public,Loblolly-Shortleaf pine,Roundwood product,Poletimber growing stock,Pulpwood,1805.555644,23912.65214,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,64564.16078
572,Other Public,Loblolly-Shortleaf pine,Roundwood product,Poletimber growing stock,Composite panel,486.5148575,6261.452477,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,16905.92169
573,Other Public,Loblolly-Shortleaf pine,Roundwood product,Poletimber growing stock,Bioenergy/Fuelwood,85.7177912,1113.218068,Thousand cubic feet (M cu. ft.),,3005.688782
574,Other Public,Loblolly-Shortleaf pine,Roundwood product,Poletimber growing stock,Miscellaneous,11.2033009,11.2033009,Thousand cubic feet (M cu. ft.),,392.1155315
575,Other Public,Loblolly-Shortleaf pine,Roundwood product,Poletimber growing stock,"Poles, Posts, Pilings",94.4022578,94.4022578,Thousand cubic feet (M cu. ft.),,2831.825332
576,Other Public,Loblolly-Shortleaf pine,Roundwood product,Nongrowing-stock,Saw logs,192.6285567,1146.233998,Thousand board feet (MBF) - International 1/4-inch rule,,6700.376695
577,Other Public,Loblolly-Shortleaf pine,Roundwood product,Nongrowing-stock,Veneer logs,2.651452882,15.68907031,Thousand board feet (MBF) - International 1/4-inch rule,,91.66339327
578,Other Public,Loblolly-Shortleaf pine,Roundwood product,Nongrowing-stock,Pulpwood,279.2097234,3697.833966,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,9984.151707
579,Other Public,Loblolly-Shortleaf pine,Roundwood product,Nongrowing-stock,Composite panel,74.42244394,957.8178113,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,2586.108091
580,Other Public,Loblolly-Shortleaf pine,Roundwood product,Nongrowing-stock,Bioenergy/Fuelwood,308.5840488,4007.58505,Thousand cubic feet (M cu. ft.),,10820.47963
581,Other Public,Loblolly-Shortleaf pine,Roundwood product,Nongrowing-stock,Miscellaneous,0.253885114,0.253885114,Thousand cubic feet (M cu. ft.),,8.885979006
582,Other Public,Loblolly-Shortleaf pine,Roundwood product,Nongrowing-stock,"Poles, Posts, Pilings",1.892640715,1.892640715,Thousand cubic feet (M cu. ft.),,56.77540968
583,Other Public,Loblolly-Shortleaf pine,Logging residues,Sawtimber growing stock,Not Used,264.5371446,264.5371446,Thousand cubic feet (M cu. ft.),8990.626545,9258.800062
584,Other Public,Loblolly-Shortleaf pine,Logging residues,Poletimber growing stock,Not Used,176.423411,176.423411,Thousand cubic feet (M cu. ft.),8990.626545,6174.819384
585,Other Public,Loblolly-Shortleaf pine,Logging residues,Nongrowing-stock,Not Used,917.6837265,917.6837265,Thousand cubic feet (M cu. ft.),8990.626545,32118.93043
586,Other Public,Longleaf-Slash pine,Roundwood product,Sawtimber growing stock,Saw logs,397.4037454,2365.094419,Thousand board feet (MBF) - International 1/4-inch rule,,13825.94444
